image_id,annotator_1,annotator_2,annotator_3,category,confidence_score,annotation_time_seconds
IMG_001,cat,cat,cat,animal,0.95,18
IMG_002,dog,dog,cat,animal,0.72,22
IMG_003,car,car,car,vehicle,0.98,15
IMG_004,person,person,person,human,0.99,12
IMG_005,bike,bicycle,bike,vehicle,0.65,35
IMG_006,cat,,cat,animal,0.88,20
IMG_007,dog,dog,dog,animal,0.97,14
IMG_008,truck,truck,car,vehicle,0.70,28
IMG_009,person,human,person,human,0.80,19
IMG_010,cat,cat,cat,animal,0.96,16
IMG_011,dog,dog,dog,animal,0.94,17
IMG_012,car,car,car,vehicle,0.99,13
IMG_013,bike,bike,bicycle,vehicle,0.68,30
IMG_014,,,person,human,0.50,45
IMG_015,cat,dog,cat,animal,0.60,40
IMG_016,truck,truck,truck,vehicle,0.98,11
IMG_017,person,person,human,human,0.75,25
IMG_018,car,car,car,vehicle,0.97,14
IMG_019,dog,dog,dog,animal,0.95,16
IMG_020,cat,cat,dog,animal,0.65,38
